Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
Device.Bridging.Bridge.1.Port.12.Enable,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"true",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.12.LastChange,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"0",xsd:unsignedInt,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.12.LowerLayers,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"Device.WiFi.SSID.9.",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.12.ManagementPort,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"false",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.12.Name,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"ra4",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.12.Status,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"Up",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.13,true,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"",,,,,,
Device.Bridging.Bridge.1.Port.13.Alias,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"cpe-bridgeport",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.13.Enable,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"true",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.13.LastChange,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"0",xsd:unsignedInt,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.13.LowerLayers,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"Device.WiFi.SSID.10.",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.13.ManagementPort,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"false",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.13.Name,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"rai4",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.13.Status,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"Up",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.14,true,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"",,,,,,
Device.Bridging.Bridge.1.Port.14.Alias,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"cpe-bridgeport",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.14.Enable,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"true",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.14.LastChange,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"0",xsd:unsignedInt,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.14.LowerLayers,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"Device.WiFi.SSID.11.",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.14.ManagementPort,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"false",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.14.Name,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"ra5",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.14.Status,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"Up",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.15,true,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"",,,,,,
